index,Fulfilment,Sales Channel ,ship-service-level,currency,ship-country,fulfilled-by,Unnamed: 22
50718,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50725,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50728,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50735,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50736,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50739,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50745,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50748,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50755,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50756,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50760,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50761,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50763,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50774,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50776,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50778,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50779,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50782,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50784,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50787,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50788,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50793,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50794,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50796,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50797,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50800,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50801,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50805,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
